label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2075,36.0811344,140.080308,,311.946076,2,2,0,0,1,-1,353.767302880566,-208.134051936218
2076,36.0811413,140.0802985,,333.493614,2,2,0,0,1,-1,352.912640372891,-207.365947449469
2077,36.0811729,140.080279,,345.417524,2,2,0,0,1,-1,351.158333120428,-203.848251540424
2078,36.0812108,140.0802668,,350.943716,2,2,0,0,1,-1,350.060766533373,-199.629242839095
2079,36.0812468,140.0802597,,1.600569,2,2,0,0,1,-1,349.422018764344,-195.621741171164
2080,36.0812844,140.080261,,8.043854,2,2,0,0,1,-1,349.538972581857,-191.436128316672
2081,36.081321,140.0802674,,2.257630,2,2,0,0,1,-1,350.114745217396,-187.361834954275
2082,36.0813579,140.0802692,,6.278102,2,2,0,0,1,-1,350.27668127202,-183.254145743459
2083,36.0813961,140.0802744,,1.304151,2,2,0,0,1,-1,350.744496539514,-179.001741195293
2084,36.0814316,140.0802754,,7.265310,2,2,0,0,1,-1,350.834461013737,-175.049899272618
2085,36.0814671,140.080281,,2.867229,2,2,0,0,1,-1,351.338262068874,-171.098057349151
2086,36.0815026,140.0802832,,1.966874,2,2,0,0,1,-1,351.536183913699,-167.146215425685
2087,36.0815379,140.0802847,,2.228874,2,2,0,0,1,-1,351.671130625033,-163.216637400637
2088,36.0815732,140.0802864,,358.575517,2,2,0,0,1,-1,351.824070232747,-159.28705937559
2089,36.0816122,140.0802852,,3.616826,2,2,0,0,1,-1,351.716112862145,-154.945599235331
2090,36.081648,140.080288,,326.709293,2,2,0,0,1,-1,351.968013390992,-150.960361464236
2091,36.0816496,140.0802867,,312.920808,2,2,0,0,1,-1,351.851059573479,-150.782250279258
2092,36.0816617,140.0802706,,325.746505,2,2,0,0,1,-1,350.402631536443,-149.435284440738
2093,36.0816725,140.0802615,,313.845791,2,2,0,0,1,-1,349.583954818968,-148.233033940359
2094,36.0816895,140.0802396,,333.368081,2,2,0,0,1,-1,347.613732827859,-146.340602596905
2095,36.0817227,140.080219,,352.432507,2,2,0,0,1,-1,345.760464654262,-142.644795502092
2096,36.0817592,140.080213,,18.660384,2,2,0,0,1,-1,345.220677806367,-138.581634088113
2097,36.0817939,140.0802275,,65.876969,2,2,0,0,1,-1,346.525162687715,-134.718847757531
2098,36.0818091,140.0802695,,62.993009,2,2,0,0,1,-1,350.303670612752,-133.026791497474
2099,36.0818257,140.0803098,,52.315635,2,2,0,0,1,-1,353.929238932634,-131.178887950858
2100,36.0818473,140.0803444,,62.334340,2,2,0,0,1,-1,357.042009750466,-128.774386949308
2101,36.0818634,140.0803824,,82.241329,2,2,0,0,1,-1,360.460659778612,-126.982143147948
2102,36.0818683,140.0804269,,81.681817,2,2,0,0,1,-1,364.464078891764,-126.436677643015
2103,36.0818737,140.0804726,,89.999987,2,2,0,0,1,-1,368.575455375518,-125.835552392825
2104,36.0818737,140.0805166,,91.946016,2,2,0,0,1,-1,372.533892249001,-125.835552392825
2105,36.0818725,140.0805603,,89.845867,2,2,0,0,1,-1,376.465339784309,-125.969135781756
2106,36.0818726,140.0806063,,99.217364,2,2,0,0,1,-1,380.603705608796,-125.958003832547
2107,36.081867,140.080649,,84.587239,2,2,0,0,1,-1,384.445188667324,-126.581392981155
2108,36.0818704,140.0806934,,84.677364,2,2,0,0,1,-1,388.439611333565,-126.20290671199
2109,36.0818736,140.0807359,,77.387894,2,2,0,0,1,-1,392.263101498271,-125.846684341243
2110,36.0818819,140.0807818,,73.122731,2,2,0,0,1,-1,396.392470873289,-124.922732567936
2111,36.0818921,140.0808234,,72.925927,2,2,0,0,1,-1,400.134993010683,-123.787273762022
2112,36.0819026,140.0808657,,74.300101,2,2,0,0,1,-1,403.940490281568,-122.618419108479
2113,36.0819123,140.0809084,,60.956547,2,2,0,0,1,-1,407.781973340095,-121.538620047822
2114,36.0819307,140.0809494,,40.909822,2,2,0,0,1,-1,411.47051679091,-119.490341417018
2115,36.0819584,140.0809791,,23.499770,2,2,0,0,1,-1,414.142461684538,-116.406791522394
2116,36.0819926,140.0809975,,17.034155,2,2,0,0,1,-1,415.79780801331,-112.599664937069
2117,36.0820261,140.0810102,,12.568249,2,2,0,0,1,-1,416.940356837477,-108.870461995418
2118,36.0820348,140.0810126,,310.897457,2,2,0,0,1,-1,417.156271576123,-107.901982426063
2119,36.0820355,140.0810116,,310.897457,2,2,0,0,1,-1,417.0663071019,-107.824058782388
